Campaign name,Day,Amount spent (INR),Impressions,Clicks (all),CTR (all),CPC (all) (INR),Results
Prospecting - Broad IN,2026-06-18,420,9500,86,0.9,4.88,5
Retargeting - Site 30d,2026-06-18,311.28,26339,345,1.31,0.9,12
Festive Sale - Lookalike,2026-06-18,757.86,7703,132,1.71,5.74,3
Prospecting - Broad IN,2026-06-19,482.25,10908,116,1.06,4.16,6
Retargeting - Site 30d,2026-06-19,333.61,28229,412,1.46,0.81,13
Festive Sale - Lookalike,2026-06-19,749.91,7622,139,1.82,5.4,3
Prospecting - Broad IN,2026-06-20,535.15,12105,146,1.21,3.67,7
Retargeting - Site 30d,2026-06-20,343.02,29025,456,1.57,0.75,13
Festive Sale - Lookalike,2026-06-20,718.31,7301,138,1.89,5.21,3
Prospecting - Broad IN,2026-06-21,571.22,12920,171,1.32,3.34,7
Retargeting - Site 30d,2026-06-21,339.63,28738,471,1.64,0.72,13
Festive Sale - Lookalike,2026-06-21,674.25,6853,130,1.9,5.19,3
Prospecting - Broad IN,2026-06-22,586.42,13264,184,1.39,3.19,7
Retargeting - Site 30d,2026-06-22,326.17,27599,455,1.65,0.72,13
Festive Sale - Lookalike,2026-06-22,631.43,6418,119,1.85,5.31,3
Prospecting - Broad IN,2026-06-23,580.95,13140,184,1.4,3.16,7
Retargeting - Site 30d,2026-06-23,307.39,26010,416,1.6,0.74,12
Festive Sale - Lookalike,2026-06-23,603.32,6132,108,1.76,5.59,3
Prospecting - Broad IN,2026-06-24,559.19,12648,171,1.35,3.27,7
Retargeting - Site 30d,2026-06-24,289.14,24465,369,1.51,0.78,11
Festive Sale - Lookalike,2026-06-24,600.39,6102,99,1.63,6.06,3
Prospecting - Broad IN,2026-06-25,528.85,11962,151,1.26,3.5,6
Retargeting - Site 30d,2026-06-25,277.15,23451,324,1.38,0.86,11
Festive Sale - Lookalike,2026-06-25,627.99,6383,94,1.47,6.68,3
Prospecting - Broad IN,2026-06-26,499.37,11295,128,1.13,3.9,6
Retargeting - Site 30d,2026-06-26,275.9,23346,285,1.22,0.97,11
Festive Sale - Lookalike,2026-06-26,685.3,6965,91,1.3,7.53,3
Prospecting - Broad IN,2026-06-27,480.02,10858,105,0.97,4.57,6
Retargeting - Site 30d,2026-06-27,287.67,24341,256,1.05,1.12,11
Festive Sale - Lookalike,2026-06-27,765.43,7780,89,1.15,8.6,3
Prospecting - Broad IN,2026-06-28,478,10812,86,0.8,5.56,6
Retargeting - Site 30d,2026-06-28,312.09,26408,238,0.9,1.31,12
Festive Sale - Lookalike,2026-06-28,856.87,8709,89,1.02,9.63,4
Prospecting - Broad IN,2026-06-29,497.01,11242,73,0.65,6.81,6
Retargeting - Site 30d,2026-06-29,346.25,29298,226,0.77,1.53,13
Festive Sale - Lookalike,2026-06-29,945.83,9613,90,0.94,10.51,4
Prospecting - Broad IN,2026-06-30,536.46,12134,63,0.52,8.52,7
Retargeting - Site 30d,2026-06-30,385.22,32596,225,0.69,1.71,15
Festive Sale - Lookalike,2026-06-30,1018.99,10357,93,0.9,10.96,5
Prospecting - Broad IN,2026-07-01,591.63,13382,59,0.44,10.03,7
Retargeting - Site 30d,2026-07-01,423.14,35804,233,0.65,1.82,16
Festive Sale - Lookalike,2026-07-01,1066.28,10838,100,0.92,10.66,5
